000000008881.jpg, Caption: a herd of sheep grazing on a lush green field .,0
000000008881.jpg, Caption: a herd of sheep grazing on a lush green hillside .,0
000000008881.jpg, Caption: a herd of sheep standing on top of a lush green field .,0
000000008881.jpg, Caption: a herd of sheep grazing in a field .,0
000000009075.jpg, Caption: a herd of sheep grazing on a lush green field .,0
000000009075.jpg, Caption: a herd of sheep grazing on a lush green hillside .,0
000000009075.jpg, Caption: a herd of sheep standing on top of a lush green field .,0
000000009075.jpg, Caption: a herd of sheep standing on top of a grass covered field .,0
000000009640.jpg, Caption: a flock of birds standing on top of a lush green field .,0
000000009640.jpg, Caption: a flock of birds sitting on top of a lush green field .,0
000000009640.jpg, Caption: a flock of birds standing on top of a grass covered field .,0
000000009640.jpg, Caption: a flock of birds sitting on top of a grass covered field .,0
000000009709.jpg, Caption: a zebra standing on top of a lush green field .,0
000000009709.jpg, Caption: a zebra standing on top of a grass covered field .,0
000000009709.jpg, Caption: a zebra standing on top of a dry grass field .,0
000000009709.jpg, Caption: a zebra is standing in a grassy field .,0
000000010276.jpg, Caption: a couple of dogs that are standing in the grass .,0
000000010276.jpg, Caption: a couple of dogs that are in the grass .,0
000000010276.jpg, Caption: a couple of dogs that are standing in the dirt .,0
000000010276.jpg, Caption: a couple of dogs that are running around,0
000000011926.jpg, Caption: a herd of zebra standing on top of a lush green field .,0
000000011926.jpg, Caption: a herd of zebra standing on top of a grass covered field .,0
000000011926.jpg, Caption: a herd of zebra walking across a lush green field .,0
000000011926.jpg, Caption: a herd of zebra standing next to each other on a field .,0
000000012021.jpg, Caption: a herd of cattle grazing on a lush green field .,0
000000012021.jpg, Caption: a herd of cattle grazing on a lush green hillside .,0
000000012021.jpg, Caption: a herd of cattle standing on top of a lush green field .,0
000000012021.jpg, Caption: a group of cows grazing in a field .,0
000000012475.jpg, Caption: a couple of cows are standing in a field,0
000000012475.jpg, Caption: a herd of cattle grazing on a lush green field .,0
000000012475.jpg, Caption: a couple of cows standing in a field .,0
000000012475.jpg, Caption: a couple of cows standing on top of a grass covered field .,0
000000013325.jpg, Caption: a red fire hydrant sitting in the middle of a field .,0
000000013325.jpg, Caption: a red fire hydrant sitting in the middle of a park .,0
000000013325.jpg, Caption: a red fire hydrant sitting in the middle of a lush green field .,0
000000013325.jpg, Caption: a red and white fire hydrant sitting in the middle of a field .,0
000000013356.jpg, Caption: a herd of cattle grazing on a lush green field .,0
000000013356.jpg, Caption: a herd of elephants walking across a lush green field .,0
000000013356.jpg, Caption: a herd of animals grazing on a lush green field .,0
000000013356.jpg, Caption: a herd of elephants walking across a grass covered field .,0
000000013900.jpg, Caption: a couple of sheep standing on top of a lush green field .,0
000000013900.jpg, Caption: a couple of sheep standing on top of a grass covered field .,0
000000013900.jpg, Caption: two sheep standing next to each other on a lush green field .,0
